symbol,window,rule_train_sharpe,hmm_train_sharpe,picked,rule_oos_return,hmm_oos_return,selector_oos_return
HK.00700,1,3.587,1.067,Rule,0.0,-1.623,0.0
HK.00700,2,2.178,-1.058,Rule,0.0,0.0,0.0
HK.00700,3,3.072,3.072,Rule,-0.644,-0.135,-0.644
HK.00700,4,2.449,2.02,Rule,0.0,0.0,0.0
HK.00005,1,4.969,4.348,Rule,0.16,-0.125,0.16
HK.00005,2,5.881,4.752,Rule,0.012,0.0,0.012
HK.00005,3,2.855,2.161,Rule,-0.189,0.032,-0.189
HK.00005,4,4.429,4.516,HMM,0.0,0.0,0.0
HK.09988,1,3.55,2.427,Rule,-1.645,0.0,-1.645
HK.09988,2,3.087,1.323,Rule,0.596,0.0,0.596
HK.09988,3,0.771,-0.382,Rule,-0.075,-0.095,-0.075
HK.09988,4,0.829,-3.481,Rule,0.0,0.0,0.0
HK.03690,1,0.186,2.517,HMM,-0.33,-0.229,-0.229
HK.03690,2,2.556,1.38,Rule,-0.153,-0.192,-0.153
HK.03690,3,2.449,2.12,Rule,-0.016,-0.016,-0.016
HK.03690,4,2.425,0.637,Rule,0.0,0.0,0.0
HK.01299,1,1.696,0.697,Rule,-0.071,-0.029,-0.071
HK.01299,2,3.219,3.071,Rule,-0.1,0.0,-0.1
HK.01299,3,2.041,-0.379,Rule,-0.489,-0.095,-0.489
HK.01299,4,3.031,-2.823,Rule,-0.031,0.165,-0.031
HK.00941,1,3.268,0.132,Rule,0.0,0.0,0.0
HK.00941,2,2.138,1.492,Rule,0.0,0.0,0.0
HK.00941,3,4.844,1.965,Rule,0.0,0.0,0.0
HK.00941,4,-1.427,-5.873,Rule,-0.052,0.0,-0.052
HK.02318,1,1.931,-2.243,Rule,-0.072,0.268,-0.072
HK.02318,2,3.157,-2.449,Rule,0.143,0.13,0.143
HK.02318,3,3.116,2.021,Rule,-0.05,-0.185,-0.05
HK.02318,4,-0.54,-3.357,Rule,0.009,-0.003,0.009
HK.01211,1,0.439,2.366,HMM,-0.158,-0.457,-0.457
HK.01211,2,2.224,-3.021,Rule,0.139,0.105,0.139
HK.01211,3,2.339,1.315,Rule,-0.143,-0.046,-0.143
HK.01211,4,1.744,-1.106,Rule,0.0,0.0,0.0
HK.01810,1,6.025,2.826,Rule,-0.192,-0.058,-0.192
HK.01810,2,4.774,-0.552,Rule,0.034,0.0,0.034
HK.01810,3,0.787,3.424,HMM,-0.025,-0.017,-0.017
HK.01810,4,3.913,-1.485,Rule,0.0,0.0,0.0
HK.09618,1,3.942,4.481,HMM,0.314,0.314,0.314
HK.09618,2,0.304,0.644,HMM,0.0,0.0,0.0
HK.09618,3,2.722,3.869,HMM,-0.065,0.315,0.315
HK.09618,4,0.075,1.902,HMM,0.0,-0.065,-0.065
HK.09888,1,2.517,1.98,Rule,-0.088,0.0,-0.088
HK.09888,2,3.118,3.148,HMM,-0.049,-0.318,-0.318
HK.09888,3,2.874,-2.84,Rule,0.0,0.016,0.0
HK.09888,4,2.553,1.439,Rule,0.0,-0.089,0.0
