pair,symbol_a,symbol_b,adf_p_unit_spread,engle_granger_p,correlation
HK.00941/HK.09618,HK.00941,HK.09618,0.033,0.2533,0.658
HK.00700/HK.03690,HK.00700,HK.03690,0.0517,0.3587,0.573
HK.09988/HK.03690,HK.09988,HK.03690,0.0738,0.6162,0.149
HK.09988/HK.01810,HK.09988,HK.01810,0.0879,0.4258,0.257
HK.01299/HK.02318,HK.01299,HK.02318,0.0881,0.1544,0.823
HK.09988/HK.01211,HK.09988,HK.01211,0.1331,0.6726,0.038
HK.01211/HK.09618,HK.01211,HK.09618,0.16,0.409,0.611
HK.02318/HK.01211,HK.02318,HK.01211,0.1906,0.5798,-0.38
HK.00700/HK.01810,HK.00700,HK.01810,0.1983,0.1566,0.663
HK.00700/HK.01211,HK.00700,HK.01211,0.2087,0.7077,0.331
HK.01299/HK.01211,HK.01299,HK.01211,0.2298,0.3174,-0.387
HK.00700/HK.09988,HK.00700,HK.09988,0.2387,0.7797,0.772
HK.03690/HK.01211,HK.03690,HK.01211,0.2391,0.4074,0.772
HK.03690/HK.02318,HK.03690,HK.02318,0.2509,0.7256,-0.354
HK.01299/HK.09888,HK.01299,HK.09888,0.2604,0.2892,0.626
HK.02318/HK.09888,HK.02318,HK.09888,0.2612,0.4545,0.689
HK.00941/HK.01211,HK.00941,HK.01211,0.2628,0.7079,0.266
HK.01211/HK.09888,HK.01211,HK.09888,0.3312,0.408,-0.454
HK.01299/HK.09618,HK.01299,HK.09618,0.3435,0.1126,-0.435
HK.00941/HK.09888,HK.00941,HK.09888,0.3526,0.6721,-0.241
HK.03690/HK.09888,HK.03690,HK.09888,0.3554,0.6042,-0.425
HK.01299/HK.00941,HK.01299,HK.00941,0.3566,0.1459,-0.399
HK.02318/HK.09618,HK.02318,HK.09618,0.3603,0.1078,-0.527
HK.09618/HK.09888,HK.09618,HK.09888,0.3607,0.3028,-0.112
HK.03690/HK.01299,HK.03690,HK.01299,0.3662,0.5514,-0.51
HK.09988/HK.09618,HK.09988,HK.09618,0.3722,0.7191,0.261
HK.00941/HK.02318,HK.00941,HK.02318,0.3792,0.3653,-0.492
HK.03690/HK.00941,HK.03690,HK.00941,0.4069,0.586,0.412
HK.09988/HK.00941,HK.09988,HK.00941,0.4868,0.7305,0.15
HK.03690/HK.09618,HK.03690,HK.09618,0.4889,0.7181,0.54
HK.02318/HK.01810,HK.02318,HK.01810,0.531,0.7102,-0.501
HK.00700/HK.09618,HK.00700,HK.09618,0.5435,0.9108,0.368
HK.09988/HK.02318,HK.09988,HK.02318,0.5453,0.8459,0.32
HK.01810/HK.09888,HK.01810,HK.09888,0.5793,0.9429,-0.417
HK.09988/HK.01299,HK.09988,HK.01299,0.6413,0.8196,0.21
HK.00005/HK.09888,HK.00005,HK.09888,0.6622,0.9574,0.491
HK.01299/HK.01810,HK.01299,HK.01810,0.6733,0.3201,-0.634
HK.00700/HK.00941,HK.00700,HK.00941,0.6861,0.8619,0.341
HK.00700/HK.09888,HK.00700,HK.09888,0.6988,0.8955,0.144
HK.09988/HK.09888,HK.09988,HK.09888,0.7369,0.9162,0.652
HK.00700/HK.02318,HK.00700,HK.02318,0.7429,0.8547,-0.052
HK.00700/HK.01299,HK.00700,HK.01299,0.7489,0.7889,-0.215
HK.03690/HK.01810,HK.03690,HK.01810,0.7538,0.2999,0.872
HK.00005/HK.03690,HK.00005,HK.03690,0.7561,0.1506,-0.851
HK.00005/HK.01211,HK.00005,HK.01211,0.7885,0.4122,-0.695
HK.00005/HK.09618,HK.00005,HK.09618,0.7899,0.6007,-0.506
HK.01211/HK.01810,HK.01211,HK.01810,0.8087,0.1845,0.794
HK.00941/HK.01810,HK.00941,HK.01810,0.8596,0.6082,0.467
HK.01810/HK.09618,HK.01810,HK.09618,0.8757,0.7937,0.644
HK.00005/HK.00941,HK.00005,HK.00941,0.8939,0.6648,-0.489
HK.00005/HK.01810,HK.00005,HK.01810,0.9294,0.0399,-0.927
HK.00005/HK.01299,HK.00005,HK.01299,0.968,0.9753,0.642
HK.00700/HK.00005,HK.00700,HK.00005,0.969,0.1586,-0.704
HK.00005/HK.09988,HK.00005,HK.09988,0.9721,0.7613,-0.249
HK.00005/HK.02318,HK.00005,HK.02318,0.9788,0.9911,0.533
